Trainingstyp;Datum;Disziplin;Schuss;Waffe;Visier;Entf;Anschlag;Resultat;Zeit;10.0;10.5.;10a0;10a5;L;L/250;Abstand;Kommentar
SCATT;26.02.2018;Präzision;30;Xesse;Offen;25;Stehend, links;8,6;4,2;16,0;8,0;32,0;7,0;493,0;513,0;46,0;
SCATT;26.02.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;8,5;5,8;12,0;6,0;49,0;15,0;405,0;397,0;35,0;
SCATT;28.02.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,9;9,1;48,0;24,0;80,0;35,0;270,0;268,0;22,0;
SCATT;28.02.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;9,5;2,6;61,0;30,5;73,0;30,0;478,0;449,0;44,0;
SCATT;28.02.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,1;2,6;53,0;26,5;72,0;30,0;512,0;445,0;47,0;
SCATT;03.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;10,0;7,9;56,0;28,0;84,0;37,0;249,0;240,0;18,0;
SCATT;03.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,8;8,5;58,0;29,0;89,0;44,0;233,0;228,0;21,0;
SCATT;03.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;9,9;2,7;58,0;29,0;81,0;36,0;436,0;431,0;50,0;
SCATT;03.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,2;2,8;64,0;32,0;83,0;37,0;427,0;377,0;44,0;
SCATT;03.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;9,2;2,7;58,0;29,0;72,0;32,0;487,0;475,0;54,0;
SCATT;04.03.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,0;7,3;54,0;27,0;90,0;45,0;138,0;139,0;21,0;
SCATT;04.03.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,9;2,4;38,0;19,0;44,0;14,0;511,0;366,0;74,0;
SCATT;04.03.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;8,8;2,3;19,0;9,5;21,0;4,0;656,0;483,0;83,0;
SCATT;04.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,3;2,7;56,0;28,0;76,0;40,0;432,0;403,0;52,0;
SCATT;04.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,4;2,8;55,0;27,5;84,0;43,0;428,0;402,0;34,0;
SCATT;04.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,1;2,8;53,0;26,5;69,0;31,0;499,0;451,0;60,0;9,0
SCATT;04.03.2018;Präzision;30;Xesse;Offen;25;Stehend, links;8,6;4,9;14,0;7,0;34,0;10,0;439,0;431,0;48,0;
SCATT;04.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,7;8,0;42,0;21,0;59,0;19,0;359,0;382,0;29,0;
SCATT;07.03.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;9,9;8,9;58,0;19,0;87,0;43,0;145,0;137,0;20,0;Nachhalten führt zu eine Vergingerung von Abstand!
